['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'12:11:04.52313'", 1, 98, 45, 605, 265)
("'12:11:04.73637'", 1, 8, 33, 556, 271)
("'12:11:04.91737'", 1, 15, 56, 439, 240)
("'12:11:05.08977'", 1, 8, 46, 440, 227)
("'12:11:05.26743'", 19, -11, 18, 851, 717)
("'12:11:05.43941'", 9, 1028, 406, 1236, 649)
("'12:11:05.43941'", 19, 3, 8, 837, 721)
("'12:11:05.61775'", 19, 9, 59, 700, 662)
("'12:11:05.61775'", 25, 429, 3, 885, 135)
("'12:11:05.79361'", 19, 33, 81, 671, 650)
("'12:11:05.79361'", 22, 1002, 221, 1254, 407)
("'12:11:05.79361'", 25, 443, 0, 966, 155)
("'12:11:05.79361'", 29, 1047, 414, 1261, 550)
("'12:11:05.96822'", 19, 29, 75, 685, 651)
("'12:11:05.96822'", 36, 768, 313, 1066, 614)
("'12:11:05.96822'", 37, 743, 38, 979, 254)
("'12:11:06.15000'", 1, 21, 15, 444, 194)
("'12:11:06.15000'", 19, 3, 58, 712, 675)
("'12:11:06.15000'", 22, 815, 281, 1214, 577)
("'12:11:06.15000'", 37, 755, 61, 958, 235)
("'12:11:06.15000'", 44, 558, 445, 783, 690)
("'12:11:06.32932'", 1, 38, 4, 476, 181)
("'12:11:06.32932'", 9, 587, 438, 872, 707)
("'12:11:06.32932'", 19, 25, 96, 658, 643)
("'12:11:06.32932'", 22, 851, 283, 1236, 574)
("'12:11:06.32932'", 29, 870, 281, 1264, 524)
("'12:11:06.50300'", 22, 943, 243, 1276, 499)
("'12:11:06.50300'", 34, 18, 11, 512, 179)
("'12:11:06.50300'", 49, 647, 2, 951, 176)
("'12:11:06.50300'", 53, 637, 417, 1058, 720)
("'12:11:06.68026'", 1, 44, 0, 493, 177)
("'12:11:06.68026'", 22, 867, 260, 1257, 561)
("'12:11:06.68026'", 56, 442, 160, 911, 450)
("'12:11:06.68026'", 57, 29, 129, 472, 702)
("'12:11:06.84873'", 34, 61, 1, 568, 178)
("'12:11:06.84873'", 49, 669, 0, 965, 164)
("'12:11:06.84873'", 57, 23, 116, 501, 717)
("'12:11:07.01958'", 1, 51, 1, 535, 196)
("'12:11:07.01958'", 29, 539, 228, 922, 467)
("'12:11:07.01958'", 56, 492, 186, 835, 396)
("'12:11:07.01958'", 57, 78, 206, 531, 714)
("'12:11:07.01958'", 59, 653, 439, 1191, 711)
("'12:11:07.18678'", 1, 40, 3, 507, 199)
("'12:11:07.18678'", 19, 673, 35, 882, 207)
("'12:11:07.18678'", 29, 489, 219, 923, 499)
("'12:11:07.18678'", 36, 996, 255, 1287, 561)
("'12:11:07.18678'", 56, 565, 275, 877, 467)
("'12:11:07.18678'", 57, 117, 297, 562, 718)
("'12:11:07.18678'", 59, 634, 441, 1213, 712)
("'12:11:07.18678'", 61, 844, 52, 1058, 151)
("'12:11:07.36365'", 1, 2, 0, 465, 192)
("'12:11:07.36365'", 19, 638, 50, 858, 220)
("'12:11:07.36365'", 25, 447, 466, 1260, 715)
("'12:11:07.36365'", 29, 459, 223, 879, 488)
("'12:11:07.36365'", 36, 969, 249, 1271, 581)
("'12:11:07.36365'", 57, 102, 348, 593, 720)
("'12:11:07.36365'", 59, 557, 464, 1153, 719)
("'12:11:07.36365'", 62, 47, 139, 470, 369)
("'12:11:07.36365'", 63, 394, 5, 643, 143)
("'12:11:07.36365'", 64, 6, 334, 275, 448)
("'12:11:07.53015'", 1, -18, 0, 444, 198)
("'12:11:07.53015'", 9, 24, 331, 234, 515)
("'12:11:07.53015'", 19, 598, 51, 859, 241)
("'12:11:07.53015'", 25, 495, 487, 1220, 720)
("'12:11:07.53015'", 29, 391, 227, 851, 513)
("'12:11:07.53015'", 36, 957, 251, 1257, 568)
