['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:28:36.01368'", 1, 1028, 46, 1283, 176)
("'13:28:36.01368'", 24, 535, 198, 1096, 383)
("'13:28:36.01368'", 33, 123, 336, 776, 704)
("'13:28:36.01368'", 39, 75, 0, 574, 161)
("'13:28:36.01368'", 43, 1035, -3, 1266, 151)
("'13:28:36.01368'", 83, 837, 313, 1280, 529)
("'13:28:36.01368'", 91, 19, 115, 425, 302)
("'13:28:36.01368'", 106, 676, 133, 1148, 240)
("'13:28:36.01368'", 108, 285, 551, 1215, 720)
("'13:28:38.33685'", 11, 355, 287, 1033, 528)
("'13:28:38.33685'", 56, 826, -7, 1273, 184)
("'13:28:38.33685'", 57, 880, 221, 1268, 441)
("'13:28:38.33685'", 113, 43, 258, 358, 416)
("'13:28:38.33685'", 130, 204, 452, 1283, 720)
("'13:28:38.33685'", 133, -48, 0, 987, 234)
("'13:28:38.59979'", 7, 509, 264, 1146, 495)
("'13:28:38.59979'", 24, 541, 420, 1307, 720)
("'13:28:38.59979'", 113, 29, 223, 447, 415)
("'13:28:38.59979'", 133, 160, 0, 1141, 215)
("'13:28:38.59979'", 137, -4, 535, 680, 708)
("'13:28:38.79394'", 7, 651, 252, 1271, 484)
("'13:28:38.79394'", 91, 846, 479, 1319, 713)
("'13:28:38.79394'", 104, 7, 162, 304, 325)
("'13:28:38.79394'", 124, 80, 237, 544, 411)
("'13:28:38.79394'", 133, 131, 0, 1187, 221)
("'13:28:38.79394'", 137, 234, 533, 888, 703)
("'13:28:38.79394'", 140, 27, 485, 347, 584)
("'13:28:38.96589'", 7, 708, 249, 1316, 489)
("'13:28:38.96589'", 104, -26, 136, 503, 443)
("'13:28:38.96589'", 121, 1058, 473, 1324, 716)
("'13:28:38.96589'", 133, 291, 11, 1353, 243)
("'13:28:38.96589'", 137, 378, 536, 1027, 705)
("'13:28:38.96589'", 149, 269, 221, 631, 419)
("'13:28:39.14362'", 56, 752, 18, 1264, 236)
("'13:28:39.14362'", 104, 4, 126, 620, 506)
("'13:28:39.14362'", 116, -10, 0, 566, 146)
("'13:28:39.14362'", 131, 558, 0, 1255, 213)
("'13:28:39.14362'", 137, 511, 532, 1187, 709)
("'13:28:39.14362'", 153, 10, -1, 518, 148)
("'13:28:39.32205'", 56, 832, 40, 1292, 250)
("'13:28:39.32205'", 57, 746, 328, 1114, 534)
("'13:28:39.32205'", 104, 34, 124, 679, 512)
("'13:28:39.32205'", 113, -25, 147, 721, 488)
("'13:28:39.32205'", 137, 598, 536, 1268, 711)
("'13:28:39.32205'", 140, 9, 578, 483, 720)
("'13:28:39.32205'", 153, 42, 0, 623, 167)
("'13:28:39.32205'", 155, 1049, 313, 1254, 492)
("'13:28:39.49699'", 11, 563, -1, 907, 125)
("'13:28:39.49699'", 24, 788, 338, 1232, 526)
("'13:28:39.49699'", 56, 884, 64, 1287, 246)
("'13:28:39.49699'", 104, 31, 147, 697, 542)
("'13:28:39.49699'", 113, 26, 141, 795, 496)
("'13:28:39.49699'", 137, 661, 546, 1282, 715)
("'13:28:39.49699'", 140, 24, 581, 484, 719)
("'13:28:39.49699'", 153, 88, 7, 654, 177)
("'13:28:39.67517'", 7, 878, 288, 1146, 396)
("'13:28:39.67517'", 56, 961, 125, 1293, 285)
("'13:28:39.67517'", 57, 832, 360, 1233, 578)
("'13:28:39.67517'", 113, 60, 180, 825, 513)
("'13:28:39.67517'", 124, 200, 14, 687, 196)
("'13:28:39.67517'", 137, 775, 579, 1285, 720)
("'13:28:39.67517'", 140, 91, 597, 525, 723)
("'13:28:39.67517'", 163, 11, 415, 469, 549)
("'13:28:39.67517'", 166, 38, 585, 174, 710)
("'13:28:39.85142'", 24, 821, 393, 1261, 585)
("'13:28:39.85142'", 56, 993, 151, 1287, 297)
("'13:28:39.85142'", 57, 875, 384, 1249, 586)
("'13:28:39.85142'", 113, 58, 199, 865, 526)
("'13:28:39.85142'", 124, 288, 36, 732, 195)
("'13:28:39.85142'", 131, 777, 0, 1290, 156)
("'13:28:39.85142'", 155, 1147, 291, 1269, 394)
("'13:28:39.85142'", 166, 70, 573, 281, 717)
("'13:28:40.03228'", 24, 846, 422, 1273, 607)
("'13:28:40.03228'", 56, 997, 154, 1304, 323)
("'13:28:40.03228'", 113, 130, 204, 972, 529)
("'13:28:40.03228'", 124, 307, 37, 811, 231)
("'13:28:40.03228'", 131, 852, 0, 1336, 169)
("'13:28:40.21321'", 56, 1048, 172, 1294, 324)
("'13:28:40.21321'", 113, 205, 193, 1085, 513)
("'13:28:40.21321'", 124, 390, 48, 837, 226)
("'13:28:40.21321'", 131, 1000, 0, 1338, 143)
("'13:28:40.42447'", 113, 341, 201, 1219, 510)
("'13:28:40.42447'", 124, 496, 67, 925, 242)
("'13:28:40.42447'", 184, 55, 93, 394, 230)
("'13:28:40.60045'", 11, 575, 59, 1063, 242)
("'13:28:40.60045'", 113, 421, 191, 1305, 517)
("'13:28:40.60045'", 116, -18, 79, 481, 216)
("'13:28:40.60045'", 124, 616, 85, 971, 228)
("'13:28:40.60045'", 153, 98, 169, 614, 323)
("'13:28:40.60045'", 188, 107, 383, 751, 589)
("'13:28:40.60045'", 190, 41, 232, 439, 405)
("'13:28:40.77603'", 104, 615, 162, 1266, 540)
("'13:28:40.77603'", 113, 516, 184, 1376, 522)
("'13:28:40.77603'", 116, -15, 93, 530, 250)
("'13:28:40.77603'", 130, 170, 407, 897, 589)
("'13:28:40.77603'", 140, 216, 416, 902, 612)
("'13:28:40.77603'", 153, 45, 255, 576, 414)
("'13:28:40.77603'", 190, 102, 265, 462, 408)
("'13:28:40.94772'", 57, 872, 401, 1305, 643)
("'13:28:40.94772'", 104, 775, 218, 1256, 480)
("'13:28:40.94772'", 124, 804, 93, 1235, 264)
("'13:28:40.94772'", 177, 387, 420, 1042, 615)
("'13:28:40.94772'", 184, 207, 73, 588, 194)
("'13:28:40.94772'", 188, 152, 256, 651, 409)
("'13:28:40.94772'", 195, 796, 104, 1233, 249)
("'13:28:40.94772'", 197, 3, 435, 515, 644)
("'13:28:41.13532'", 7, 448, 185, 835, 342)
("'13:28:41.13532'", 56, 895, 255, 1275, 496)
("'13:28:41.13532'", 124, 883, 122, 1297, 289)
("'13:28:41.13532'", 163, 195, 168, 662, 307)
("'13:28:41.13532'", 177, 467, 454, 1092, 638)
("'13:28:41.13532'", 184, 281, 82, 721, 217)
("'13:28:41.13532'", 188, 188, 278, 730, 447)
("'13:28:41.13532'", 195, 855, 133, 1294, 280)
("'13:28:41.13532'", 197, 104, 471, 588, 665)
("'13:28:41.32646'", 7, 540, 204, 870, 337)
("'13:28:41.32646'", 104, 928, 136, 1276, 326)
("'13:28:41.32646'", 124, 919, 155, 1304, 313)
("'13:28:41.32646'", 184, 339, 82, 763, 211)
("'13:28:41.32646'", 188, 263, 286, 799, 451)
("'13:28:41.32646'", 197, 185, 478, 719, 677)
("'13:28:41.32646'", 201, 268, 163, 672, 302)
("'13:28:41.32646'", 206, -111, 0, 374, 95)
("'13:28:41.32646'", 208, 579, 465, 1284, 692)
("'13:28:41.32646'", 211, 16, 248, 151, 398)
("'13:28:41.32646'", 212, 9, 183, 246, 293)
("'13:28:41.52767'", 104, 997, 170, 1264, 323)
("'13:28:41.52767'", 116, 374, 115, 782, 232)
("'13:28:41.52767'", 130, 215, 544, 830, 697)
("'13:28:41.52767'", 140, 335, 335, 816, 467)
("'13:28:41.52767'", 184, 388, 95, 790, 221)
("'13:28:41.52767'", 188, 340, 324, 812, 469)
("'13:28:41.52767'", 190, 295, 152, 775, 341)
("'13:28:41.52767'", 201, 309, 182, 740, 330)
("'13:28:41.52767'", 206, -141, 0, 466, 147)
("'13:28:41.52767'", 208, 694, 496, 1293, 696)
("'13:28:41.52767'", 211, 32, 230, 237, 435)
("'13:28:41.52767'", 212, -6, 186, 275, 322)
("'13:28:41.52767'", 214, 76, 585, 444, 721)
("'13:28:41.71987'", 11, 387, 70, 881, 255)
